Postal_Code,Make,Model
98446,CHEVROLET,VOLT
98504,FORD,MUSTANG MACH-E
98526,FORD,C-MAX
98542,TOYOTA,PRIUS PRIME
98572,TESLA,MODEL 3
98593,CHRYSLER,PACIFICA
98612,TESLA,MODEL 3
98649,TOYOTA,PRIUS PLUG-IN
98683,TESLA,MODEL 3
98823,CHEVROLET,BOLT EV
98833,VOLKSWAGEN,ID.4
98902,TESLA,MODEL 3
98950,TESLA,MODEL 3
99130,TOYOTA,PRIUS PRIME
99185,TESLA,MODEL 3
99361,CHEVROLET,BOLT EV
99019,TESLA,MODEL 3
99115,KIA,EV6
99163,TESLA,MODEL Y
99180,CHEVROLET,BOLT EV
99206,TESLA,MODEL 3
99353,TESLA,MODEL 3
98288,NISSAN,LEAF
98312,TESLA,MODEL 3
98370,NISSAN,LEAF
98418,NISSAN,LEAF
98438,TESLA,MODEL 3
98547,CHEVROLET,VOLT
98555,FORD,MUSTANG MACH-E
98576,CHEVROLET,VOLT
98644,TOYOTA,PRIUS PRIME
98660,NISSAN,LEAF
98663,NISSAN,LEAF
98816,TESLA,MODEL Y
98841,TOYOTA,PRIUS PLUG-IN
98851,CHEVROLET,VOLT
98932,TESLA,MODEL S
98938,JEEP,WRANGLER
99202,NISSAN,LEAF
98115,TESLA,MODEL 3
98122,TESLA,MODEL 3
98125,TESLA,MODEL 3
98201,TESLA,MODEL 3
98206,TESLA,MODEL 3
98258,TESLA,MODEL Y
98272,TESLA,MODEL Y
98273,NISSAN,LEAF
98274,TESLA,MODEL Y
98276,CHEVROLET,VOLT
98281,TESLA,MODEL Y
98282,TESLA,MODEL 3
7103,TESLA,MODEL 3
22405,TESLA,MODEL 3
70461,KIA,NIRO
75078,TESLA,MODEL Y
78251,FORD,FUSION
92102,TESLA,MODEL S
92118,FORD,FUSION
93555,FORD,FUSION
94565,BMW,330E
94901,KIA,NIRO
96734,CHEVROLET,BOLT EV
98014,TESLA,MODEL 3
98024,TESLA,MODEL 3
98028,TESLA,MODEL 3
98118,TESLA,MODEL 3
98119,TESLA,MODEL 3
98233,TESLA,MODEL Y
98237,CHEVROLET,BOLT EV
98244,NISSAN,LEAF
98304,NISSAN,LEAF
98323,VOLKSWAGEN,ID.4
98329,TESLA,MODEL 3
98351,TESLA,MODEL 3
98403,TESLA,MODEL 3
98466,TESLA,MODEL Y
98501,CHEVROLET,BOLT EV
23321,CHEVROLET,BOLT EV
30809,VOLVO,XC90
40026,CHRYSLER,PACIFICA
55408,TESLA,MODEL 3
60077,TESLA,MODEL Y
68135,CHRYSLER,PACIFICA
80111,BMW,330E
90005,TESLA,MODEL S
98006,TESLA,MODEL 3
98007,TESLA,MODEL 3
98036,TESLA,MODEL Y
98037,TESLA,MODEL 3
98042,TESLA,MODEL Y
98164,TESLA,MODEL 3
98178,TESLA,MODEL 3
2842,NISSAN,LEAF
3804,TESLA,MODEL 3
20171,TESLA,MODEL Y
28545,KIA,NIRO
92101,TESLA,MODEL 3
92703,TESLA,MODEL 3
98005,TESLA,MODEL 3
98040,TESLA,MODEL 3
98105,TESLA,MODEL 3
98126,TESLA,MODEL 3
98133,NISSAN,LEAF
98672,TESLA,MODEL 3
98684,TESLA,MODEL 3
98840,NISSAN,LEAF
98844,TESLA,MODEL S
98850,NISSAN,LEAF
98944,TESLA,MODEL 3
98232,TESLA,MODEL Y
98239,TESLA,MODEL 3
98240,NISSAN,LEAF
